epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,655.211,1.10123,0.6302,1.79255,0.95183,0.94118,0.98218,0.70401,1.00282,0.60023,2.09072,0.008152,0.008152,0.008152
114,660.878,1.11699,0.64587,1.85162,0.91017,0.94366,0.97858,0.71948,0.98685,0.5996,2.09887,0.0081355,0.0081355,0.0081355
115,666.735,1.11558,0.64368,1.82894,0.91841,0.95098,0.97767,0.70747,1.00047,0.58189,2.01949,0.008119,0.008119,0.008119
116,672.41,1.12194,0.6499,1.81456,0.94207,0.95668,0.98519,0.72274,1.01981,0.58459,2.04655,0.0081025,0.0081025,0.0081025
117,678.261,1.12912,0.63708,1.80291,0.94093,0.937,0.9781,0.71195,0.99024,0.59286,2.05902,0.008086,0.008086,0.008086
118,683.914,1.104,0.63122,1.79325,0.9549,0.9342,0.96799,0.70253,0.99898,0.615,2.03205,0.0080695,0.0080695,0.0080695
119,689.59,1.10808,0.644,1.8276,0.91763,0.9284,0.96118,0.7026,0.98384,0.61716,2.08405,0.008053,0.008053,0.008053
120,695.256,1.10541,0.63695,1.81855,0.94081,0.91667,0.97692,0.73799,0.95133,0.60084,1.96034,0.0080365,0.0080365,0.0080365
121,701.127,1.10751,0.63487,1.79661,0.89524,0.97059,0.97206,0.70319,0.99596,0.61163,2.07721,0.00802,0.00802,0.00802
122,706.8,1.08202,0.62116,1.76831,0.93217,0.94312,0.97111,0.72532,0.96344,0.58615,2.04624,0.0080035,0.0080035,0.0080035
123,712.83,1.09967,0.62763,1.81184,0.92555,0.97505,0.97398,0.71527,1.01293,0.59211,2.02916,0.007987,0.007987,0.007987
124,718.49,1.10924,0.6294,1.80694,0.91523,0.90196,0.95415,0.67408,1.03911,0.65283,2.09536,0.0079705,0.0079705,0.0079705
125,724.175,1.11357,0.62031,1.75226,0.94631,0.9503,0.97579,0.70178,1.01012,0.56623,1.99298,0.007954,0.007954,0.007954
126,729.831,1.11587,0.63412,1.7562,0.93611,0.92647,0.97648,0.70907,1.0154,0.60324,2.01429,0.0079375,0.0079375,0.0079375
127,735.525,1.10861,0.63358,1.77565,0.94461,0.92157,0.97577,0.71012,0.98985,0.6119,2.09725,0.007921,0.007921,0.007921
128,741.178,1.10358,0.63379,1.79797,0.93195,0.93137,0.97642,0.72265,0.95424,0.57856,2.03053,0.0079045,0.0079045,0.0079045
129,746.851,1.09067,0.62346,1.76563,0.95977,0.94118,0.97798,0.72062,0.98477,0.59665,2.02302,0.007888,0.007888,0.007888
130,752.518,1.09927,0.62853,1.75836,0.96065,0.95588,0.98123,0.7179,1.01107,0.57715,2.03276,0.0078715,0.0078715,0.0078715
131,758.161,1.09769,0.62567,1.75569,0.93681,0.94472,0.97918,0.73401,0.97073,0.56436,2.01197,0.007855,0.007855,0.007855
132,763.836,1.10407,0.63212,1.78682,0.93832,0.94608,0.97943,0.72826,0.98559,0.5748,2.08355,0.0078385,0.0078385,0.0078385
133,769.521,1.11589,0.63828,1.82985,0.9437,0.93627,0.97415,0.70938,0.99467,0.60405,2.08473,0.007822,0.007822,0.007822
134,775.188,1.09972,0.63472,1.77954,0.92523,0.95098,0.97198,0.71327,0.97686,0.5939,2.05478,0.0078055,0.0078055,0.0078055
135,780.847,1.07372,0.61227,1.73872,0.94184,0.95263,0.98358,0.72208,0.95661,0.55531,2.05651,0.007789,0.007789,0.007789
136,786.517,1.09068,0.6186,1.76411,0.96657,0.90686,0.98161,0.73104,0.94575,0.56988,2.01417,0.0077725,0.0077725,0.0077725
137,792.175,1.07152,0.61529,1.76585,0.92766,0.95098,0.97715,0.72874,0.95883,0.58548,2.05769,0.007756,0.007756,0.007756
138,797.838,1.07721,0.61807,1.79462,0.92017,0.96569,0.97379,0.72072,0.97224,0.57687,2.06927,0.0077395,0.0077395,0.0077395
139,803.471,1.07982,0.62882,1.77757,0.95524,0.94164,0.97099,0.72265,0.93265,0.56573,2.03904,0.007723,0.007723,0.007723
140,809.143,1.07663,0.62415,1.75944,0.93925,0.96078,0.97923,0.72373,0.94951,0.57178,2.04921,0.0077065,0.0077065,0.0077065
141,814.804,1.08793,0.62939,1.76233,0.9331,0.95715,0.96798,0.72018,0.94203,0.58516,2.05406,0.00769,0.00769,0.00769
142,820.471,1.07617,0.61055,1.76553,0.94852,0.92647,0.97671,0.71898,0.9546,0.58225,2.01346,0.0076735,0.0076735,0.0076735
143,826.121,1.07931,0.61942,1.77933,0.94288,0.89008,0.95107,0.68764,1.03762,0.65779,2.16499,0.007657,0.007657,0.007657
144,831.797,1.06596,0.62105,1.74687,0.91064,0.89216,0.9439,0.65776,1.10248,0.68792,2.31523,0.0076405,0.0076405,0.0076405
145,837.457,1.09599,0.62204,1.73611,0.92122,0.9745,0.97538,0.70362,1.01039,0.58023,2.04301,0.007624,0.007624,0.007624
146,843.136,1.07329,0.62561,1.78305,0.94158,0.94811,0.9833,0.71509,1.00373,0.57161,2.01186,0.0076075,0.0076075,0.0076075
147,848.799,1.05849,0.60278,1.72965,0.90724,0.95891,0.97619,0.7026,0.99899,0.56164,2.03262,0.007591,0.007591,0.007591
148,854.472,1.08625,0.60978,1.78387,0.94052,0.94608,0.97619,0.7327,0.95363,0.56239,2.04302,0.0075745,0.0075745,0.0075745
149,860.163,1.04685,0.59903,1.73534,0.94361,0.91667,0.96667,0.71036,0.98518,0.60219,2.06197,0.007558,0.007558,0.007558
150,865.822,1.0605,0.60686,1.75154,0.918,0.95098,0.97922,0.73538,0.97551,0.57015,1.98051,0.0075415,0.0075415,0.0075415
151,871.487,1.05606,0.60172,1.76635,0.94688,0.9612,0.97895,0.73991,0.93447,0.55633,2.00906,0.007525,0.007525,0.007525
152,877.357,1.06944,0.61628,1.76972,0.95453,0.92624,0.9708,0.72693,0.96275,0.56518,1.98832,0.0075085,0.0075085,0.0075085
153,883.005,1.03112,0.59229,1.75276,0.93512,0.93137,0.95885,0.71212,0.94968,0.58666,2.0483,0.007492,0.007492,0.007492
154,888.642,1.04842,0.60269,1.74915,0.95807,0.94118,0.97888,0.71933,0.98281,0.57875,2.02343,0.0074755,0.0074755,0.0074755
155,894.31,1.04162,0.59227,1.73399,0.96888,0.95098,0.98485,0.74058,0.92565,0.5413,2.03085,0.007459,0.007459,0.007459
156,900.635,1.04063,0.6002,1.78041,0.94246,0.96357,0.98128,0.75113,0.91869,0.56352,1.97568,0.0074425,0.0074425,0.0074425
157,906.509,1.06572,0.60858,1.74481,0.93306,0.95658,0.96511,0.71593,0.96786,0.57067,2.07095,0.007426,0.007426,0.007426
158,912.164,1.05226,0.6019,1.75314,0.93599,0.93185,0.97376,0.72582,0.95421,0.59268,2.04109,0.0074095,0.0074095,0.0074095
159,917.824,1.04348,0.59715,1.75263,0.93691,0.94631,0.97372,0.70998,0.97123,0.59509,2.02829,0.007393,0.007393,0.007393
160,923.508,1.0722,0.61933,1.71889,0.9602,0.94611,0.97722,0.7366,0.94764,0.57258,2.0063,0.0073765,0.0073765,0.0073765
161,929.174,1.07948,0.60192,1.75668,0.92179,0.94608,0.97395,0.73457,0.92025,0.58467,1.97507,0.00736,0.00736,0.00736
162,934.837,1.05066,0.60754,1.77555,0.93752,0.95629,0.98206,0.73315,0.95536,0.56438,2.04107,0.0073435,0.0073435,0.0073435
163,940.507,1.05431,0.60012,1.70702,0.90553,0.95588,0.97133,0.71174,0.97329,0.5711,2.03348,0.007327,0.007327,0.007327
164,946.168,1.04222,0.5968,1.74075,0.93255,0.94886,0.96419,0.71464,0.96015,0.58353,2.01427,0.0073105,0.0073105,0.0073105
165,951.843,1.03949,0.59414,1.75637,0.96867,0.94608,0.98388,0.73597,0.94856,0.5401,1.98919,0.007294,0.007294,0.007294
166,957.506,1.02071,0.58814,1.71579,0.93388,0.94118,0.97395,0.72523,0.9379,0.55754,1.99416,0.0072775,0.0072775,0.0072775
167,963.522,1.04011,0.5949,1.72573,0.94237,0.96193,0.97919,0.73635,0.95182,0.57385,1.93617,0.007261,0.007261,0.007261
168,969.532,1.04008,0.58901,1.74158,0.9423,0.96066,0.97644,0.72828,0.92679,0.55035,1.95262,0.0072445,0.0072445,0.0072445
169,975.192,1.05692,0.59608,1.74321,0.94149,0.94662,0.97582,0.7329,0.91532,0.55136,1.98191,0.007228,0.007228,0.007228
170,980.841,1.03867,0.59393,1.7082,0.94312,0.95098,0.97647,0.73395,0.95858,0.56668,1.99827,0.0072115,0.0072115,0.0072115
171,986.514,1.03066,0.59473,1.69883,0.92886,0.96004,0.96732,0.70569,0.99902,0.58006,2.07983,0.007195,0.007195,0.007195
172,992.206,1.03778,0.59099,1.71842,0.95578,0.98039,0.98159,0.75352,0.9214,0.5347,1.99118,0.0071785,0.0071785,0.0071785
173,998.081,1.03121,0.58317,1.754,0.94185,0.95269,0.97971,0.74298,0.9156,0.54891,1.96375,0.007162,0.007162,0.007162
174,1003.74,1.03683,0.58938,1.74439,0.96922,0.92615,0.98122,0.75861,0.89445,0.54843,1.99926,0.0071455,0.0071455,0.0071455
175,1009.6,1.03319,0.60096,1.72703,0.95572,0.95233,0.97973,0.74407,0.92735,0.53932,1.99996,0.007129,0.007129,0.007129
176,1015.27,1.00734,0.58441,1.74162,0.94043,0.92871,0.96854,0.71759,0.98057,0.58697,2.07293,0.0071125,0.0071125,0.0071125
177,1020.95,1.02304,0.5854,1.72516,0.94677,0.97059,0.98374,0.73856,0.97151,0.56642,1.94056,0.007096,0.007096,0.007096
178,1026.62,1.03351,0.59494,1.74099,0.95488,0.92647,0.96919,0.72443,1.01485,0.60727,1.95274,0.0070795,0.0070795,0.0070795
179,1032.28,1.00698,0.58279,1.71211,0.96763,0.93627,0.97777,0.74446,0.92499,0.53806,1.97486,0.007063,0.007063,0.007063
